,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,country
75,uri,http://www.wikidata.org/entity/Q106094537,en,literal,"Butcher Shop Dimqt - ""Workshop""",http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
76,uri,http://www.wikidata.org/entity/Q7692633,en,literal,Technomarket,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
77,uri,http://www.wikidata.org/entity/Q610143,en,literal,Bulgarian State Railways,http://www.w3.org/2001/XMLSchema#dateTime,literal,1888-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
78,uri,http://www.wikidata.org/entity/Q114238322,,literal,Q114238322,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
79,uri,http://www.wikidata.org/entity/Q5206146,en,literal,DSK Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
80,uri,http://www.wikidata.org/entity/Q19370762,en,literal,Pensoft Publishers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,http://www.wikidata.org/entity/Q21781591,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
81,uri,http://www.wikidata.org/entity/Q12287911,en,literal,NEK EAD,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q383973, http://www.wikidata.org/entity/Q112046",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2073,mul,literal,NATSIONALNA ELEKTRICHESKA KOMPANIA JSC,http://www.w3.org/2001/XMLSchema#decimal,literal,-37700000,wd:Q219
82,uri,http://www.wikidata.org/entity/Q12298056,en,literal,Hilton Sofia,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
83,uri,http://www.wikidata.org/entity/Q1034634,en,literal,Capital,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
84,uri,http://www.wikidata.org/entity/Q108113024,en,literal,Tayaranjet,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
