,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,country
31,uri,http://www.wikidata.org/entity/Q5374439,en,literal,Empresa Metropolitana de Transportes Urbanos de São Paulo,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q175,literal,http://www.wikidata.org/entity/Q9067334,,,,,,,,,,,,,wd:Q155
32,uri,http://www.wikidata.org/entity/Q104214913,en,literal,Dumativa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,12,,,,,,,,,,wd:Q155
33,uri,http://www.wikidata.org/entity/Q7924549,en,literal,Via,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q967648,literal,,,,,,,,,,,,,,wd:Q155
34,uri,http://www.wikidata.org/entity/Q28679415,en,literal,Assaí Atacadista,,,,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q9639523,literal,,,,,,,,,,,,,,wd:Q155
35,uri,http://www.wikidata.org/entity/Q109569583,en,literal,Yes! Cosmetics,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
36,uri,http://www.wikidata.org/entity/Q10384591,,literal,Q10384591,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-10-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36947,literal,,,,,,,,,,,,,,wd:Q155
37,uri,http://www.wikidata.org/entity/Q48861172,en,literal,Cinemagic,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
38,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q155
39,uri,http://www.wikidata.org/entity/Q18483091,,literal,Q18483091,,,,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q321331,literal,,,,,,,,,,,,,,wd:Q155
40,uri,http://www.wikidata.org/entity/Q48861042,en,literal,Cineflix,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
