,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
26,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q739
27,uri,http://www.wikidata.org/entity/Q44698252,en,literal,COTECMAR,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-07-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,"http://www.wikidata.org/entity/Q474200, http://www.wikidata.org/entity/Q392933",literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,,,,,,,,,,wd:Q739
28,uri,http://www.wikidata.org/entity/Q7894343,en,literal,"Universidad del Norte, Colombia",http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-24T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
29,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q739
30,uri,http://www.wikidata.org/entity/Q1517478,en,literal,Pontifical Xavierian University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1604-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
31,uri,http://www.wikidata.org/entity/Q5331091,en,literal,Easy,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q298,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,,,,,,,,,,wd:Q739
32,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q45,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q739
33,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q739
34,uri,http://www.wikidata.org/entity/Q111910247,en,literal,SlastSound Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-06-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,http://www.wikidata.org/entity/Q10302058,literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,,,,,,,,,,wd:Q739
35,uri,http://www.wikidata.org/entity/Q2918415,en,literal,Codere,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q664702, http://www.wikidata.org/entity/Q1506462",literal,,literal,,literal,http://www.wikidata.org/entity/Q2807,literal,http://www.wikidata.org/entity/Q82059,it,literal,Codere Scommesse S.R.L,,,,,,,wd:Q739
