,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
143,uri,http://www.wikidata.org/entity/Q187854,en,literal,Scandinavian Airlines,http://www.w3.org/2001/XMLSchema#decimal,literal,12329,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q34,literal,http://www.wikidata.org/entity/Q1757562,literal,,literal,,literal,http://www.wikidata.org/entity/Q10673294,literal,,,,,,,,,,,,,,,,,wd:Q35
144,uri,http://www.wikidata.org/entity/Q64139027,en,literal,Omoda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1875-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q31,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q81076,literal,,,,,nl,literal,Omoda,,,,,,,,,,wd:Q35
145,uri,http://www.wikidata.org/entity/Q187854,en,literal,Scandinavian Airlines,http://www.w3.org/2001/XMLSchema#decimal,literal,12329,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q1757562,literal,,literal,,literal,http://www.wikidata.org/entity/Q10673294,literal,,,,,,,,,,,,,,,,,wd:Q35
146,uri,http://www.wikidata.org/entity/Q66325802,en,literal,European Energy,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-02-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q594807,literal,,,,,,,,,,,,,,,,,wd:Q35
147,uri,http://www.wikidata.org/entity/Q59055,en,literal,Berlingske,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1749-01-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1748,literal,,,,,,,,,,,,,,,,,wd:Q35
148,uri,http://www.wikidata.org/entity/Q601956,en,literal,Aalborg University,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
149,uri,http://www.wikidata.org/entity/Q15573853,en,literal,Geranium,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
150,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q971,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,,,,ru,literal,Всемирная организация здравоохранения,,,,,,,,,,wd:Q35
151,uri,http://www.wikidata.org/entity/Q64139027,en,literal,Omoda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1875-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q31,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q81076,literal,,,,,da,literal,Omoda,,,,,,,,,,wd:Q35
152,uri,http://www.wikidata.org/entity/Q45576,en,literal,Novozymes,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-11-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q7108,literal,http://www.wikidata.org/entity/Q90691599,literal,,literal,http://www.wikidata.org/entity/Q2509805,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,18659000000,,,,,,,wd:Q35
