id,name,start_date
Q22350740,Thinkers Newspaper,2015-01-01T00:00:00Z
Q39059538,jiji.ng,2014-01-01T00:00:00Z
Q111871542,Hotel Bon Voyage,
Q927304,University of Nigeria,1955-01-01T00:00:00Z
Q7611369,Sterling Bank,1960-01-01T00:00:00Z
Q112191620,Faith Motors Limited,1996-01-01T00:00:00Z
Q17109191,New Telegraph,2013-10-01T00:00:00Z
Q7687722,Tastee Fried Chicken,1996-01-01T00:00:00Z
Q115095085,Hemas Hotel,
Q22080463,legit.ng,2012-01-01T00:00:00Z
Q7399506,Sahara Reporters,2006-01-01T00:00:00Z
Q23931913,The Authority (newspaper),2015-01-01T00:00:00Z
Q60463316,Magnificent Records,2016-01-01T00:00:00Z
Q18353684,Entertainment Express Nigeria,
Q4688832,Afe Babalola University,2009-01-01T00:00:00Z
Q4672418,Access Bank,1989-01-01T00:00:00Z
Q112011614,Visa Karena Hotels,
Q5978240,Zenith Bank,1990-05-01T00:00:00Z
Q17109416,The Tide,1971-01-01T00:00:00Z
Q513457,United Bank for Africa,1949-01-01T00:00:00Z
Q112164481,Chisco Transport Company,1981-01-01T00:00:00Z
Q60751889,Providus Bank Limited,2016-01-01T00:00:00Z
Q115055597,Lagos Marriott Hotel Ikeja,
Q110809691,Ibile Oil and Gas Corporation,2013-01-01T00:00:00Z
Q5001728,Business Hallmark,
