company_id,edge_type,val_id,node_type
4295884728.0,Macro Industry,Materials,Industry
5056412391.0,Macro Industry,Retail,Industry
5000012898.0,Macro Industry,Materials,Industry
4295907183.0,Macro Industry,Industrials,Industry
4295864049.0,Macro Industry,Energy and Power,Industry
4295908493.0,Macro Industry,Financials,Industry
4295860459.0,Macro Industry,Industrials,Industry
5037247217.0,Macro Industry,Industrials,Industry
4295890141.0,Macro Industry,Industrials,Industry
5066616404.0,Macro Industry,High Technology,Industry
4296176222.0,Macro Industry,Consumer Products and Services,Industry
4295907183.0,Macro Industry,Industrials,Industry
4295889277.0,Macro Industry,Industrials,Industry
5000002343.0,Macro Industry,Media and Entertainment,Industry
4295914627.0,Macro Industry,Financials,Industry
4295914627.0,Macro Industry,Financials,Industry
5037478590.0,Macro Industry,Consumer Products and Services,Industry
4295895044.0,Macro Industry,Retail,Industry
4295884747.0,Macro Industry,High Technology,Industry
5037477697.0,Macro Industry,Telecommunications,Industry
4296693301.0,Macro Industry,Materials,Industry
4295889097.0,Macro Industry,Materials,Industry
5000803238.0,Macro Industry,Industrials,Industry
5046707400.0,Macro Industry,Consumer Products and Services,Industry
5040246866.0,Macro Industry,High Technology,Industry
5040246866.0,Macro Industry,High Technology,Industry
4295877548.0,Macro Industry,Materials,Industry
4296661483.0,Macro Industry,Energy and Power,Industry
4296661483.0,Macro Industry,Energy and Power,Industry
4295859223.0,Macro Industry,Retail,Industry
5037478590.0,Macro Industry,Consumer Products and Services,Industry
4295866131.0,Macro Industry,Industrials,Industry
4295866790.0,Macro Industry,High Technology,Industry
4295903469.0,Macro Industry,Materials,Industry
4295878673.0,Macro Industry,Media and Entertainment,Industry
4295908451.0,Macro Industry,Industrials,Industry
5040047599.0,Macro Industry,Industrials,Industry
4295884543.0,Macro Industry,Industrials,Industry
5082913340.0,Macro Industry,Financials,Industry
4295856601.0,Macro Industry,Materials,Industry
4295907543.0,Macro Industry,High Technology,Industry
4295876559.0,Macro Industry,High Technology,Industry
4295863493.0,Macro Industry,Financials,Industry
4295856141.0,Macro Industry,Energy and Power,Industry
5082913340.0,Macro Industry,Financials,Industry
5044511242.0,Macro Industry,High Technology,Industry
4295906353.0,Macro Industry,Industrials,Industry
4296410572.0,Macro Industry,Energy and Power,Industry
4295907012.0,Macro Industry,Energy and Power,Industry
4295865833.0,Macro Industry,Energy and Power,Industry
4295883040.0,Macro Industry,Materials,Industry
4295889996.0,Macro Industry,Healthcare,Industry
4295865088.0,Macro Industry,Industrials,Industry
5000459171.0,Macro Industry,Retail,Industry
5000459171.0,Macro Industry,Retail,Industry
4295894819.0,Macro Industry,Consumer Products and Services,Industry
4295890141.0,Macro Industry,Industrials,Industry
5052166213.0,Macro Industry,Financials,Industry
5046395504.0,Macro Industry,Energy and Power,Industry
5081482868.0,Macro Industry,Energy and Power,Industry
4295893512.0,Macro Industry,Consumer Staples,Industry
4295893512.0,Macro Industry,Consumer Staples,Industry
