Unnamed: 0,Acquiror PermID,Target PermID,Date Announced
2121,5052137706.0,5052137706.0,12/12/2022
2122,4295885731.0,4295885731.0,04/07/2022
2123,4296242896.0,4296242896.0,04/10/2022
2124,4295867913.0,4295867913.0,04/21/2022
2125,5052143793.0,5052143793.0,04/28/2022
2126,4295983941.0,4295983941.0,05/06/2022
2127,5037638673.0,5037638673.0,05/09/2022
2129,5083145524.0,5083145524.0,06/02/2022
2130,5073983321.0,5073983321.0,06/09/2022
2131,5080079906.0,5080079906.0,05/16/2022
2132,5044580769.0,5044580769.0,05/30/2022
2133,5067515094.0,5067515094.0,07/06/2022
2134,5076355245.0,5076355245.0,07/11/2022
2135,5040244013.0,5040244013.0,07/18/2022
2136,5064567162.0,5064567162.0,08/10/2022
2137,4295875010.0,4295875010.0,04/10/2022
2138,5057851867.0,5057851867.0,09/08/2022
2139,5037061975.0,5037061975.0,09/09/2022
2140,5000037210.0,5000037210.0,07/12/2022
2142,5004439058.0,5004439058.0,10/03/2022
2143,4296282589.0,4296282589.0,10/03/2022
2144,4296543362.0,4296543362.0,11/01/2022
2145,4296773461.0,4296773461.0,11/21/2022
2146,5052547956.0,5052547956.0,11/21/2022
2147,4295907183.0,4295907183.0,11/10/2022
2150,5071525129.0,5071525129.0,11/24/2022
2151,5083699614.0,5083699614.0,08/19/2022
2152,4295870314.0,4295870314.0,12/30/2022
2153,5083752876.0,5083752876.0,01/09/2023
2154,4295870159.0,4295870159.0,01/19/2023
2155,4298029657.0,4298029657.0,02/01/2023
2156,5083813944.0,5083813944.0,02/03/2023
2158,4295866575.0,4295866575.0,12/19/2022
2159,4295890321.0,4295890321.0,02/17/2023
2160,5001227231.0,5001227231.0,08/16/2022
2161,4295877308.0,4295877308.0,09/06/2022
2162,5063315114.0,5063315114.0,01/16/2023
2163,5037939778.0,5037939778.0,01/04/2023
2164,5046018359.0,5046018359.0,05/30/2022
2165,5044096338.0,5044096338.0,01/31/2023
2166,4298228131.0,4298228131.0,04/01/2022
2167,4295880926.0,4295880926.0,08/05/2022
2168,5040036333.0,5040036333.0,10/03/2022
2169,5083687279.0,5083687279.0,03/14/2023
2170,5039148078.0,5039148078.0,05/02/2022
2171,5083173369.0,5083173369.0,06/23/2022
2172,4295891506.0,4295891506.0,11/03/2022
2174,4295872532.0,4295872532.0,05/25/2022
2175,5039144240.0,5039144240.0,04/22/2022
2176,5082518936.0,5082518936.0,04/20/2022
2177,5083159607.0,5083159607.0,05/18/2022
2178,5080188190.0,5080188190.0,06/23/2022
2179,5079163325.0,5079163325.0,08/15/2022
2180,5077896136.0,5077896136.0,05/02/2022
2181,4295882695.0,4295882695.0,09/23/2022
2182,5036176913.0,5036176913.0,09/30/2022
2183,4298145353.0,4298145353.0,03/31/2022
2184,4295887079.0,4295887079.0,10/28/2022
2185,5080034802.0,5080034802.0,03/31/2022
2186,5071556314.0,5071556314.0,03/02/2023
2187,4295894565.0,4295894565.0,05/23/2022
2188,5039936425.0,5039936425.0,09/26/2022
2189,5064635468.0,5064635468.0,10/17/2022
2193,5081404432.0,5081404432.0,08/08/2022
2194,5083404721.0,5083404721.0,03/23/2023
2195,5042368996.0,5042368996.0,12/23/2022
2196,5051008532.0,5051008532.0,07/02/2022
2197,8589934254.0,8589934254.0,06/15/2022
2198,5083446559.0,5083446559.0,09/05/2022
2199,4295864075.0,4295864075.0,02/01/2023
2200,4295864075.0,4295864075.0,02/15/2023
2201,5043330606.0,5043330606.0,05/19/2022
2202,5000789186.0,5000789186.0,05/17/2022
2203,5044364516.0,5044364516.0,06/23/2022
2204,5000030092.0,5000030092.0,05/05/2022
2205,4295882203.0,4295882203.0,03/20/2023
2206,4297052582.0,4297052582.0,04/14/2022
2207,4295880216.0,4295880216.0,06/06/2022
2208,5044694359.0,5044694359.0,04/07/2022
2209,4295882141.0,4295882141.0,08/23/2022
2210,4295876942.0,4295876942.0,12/28/2022
2212,4295864447.0,4295864447.0,08/18/2022
2213,5083165490.0,5083165490.0,06/01/2022
2214,4296132443.0,4296132443.0,03/30/2022
2215,5082091116.0,5082091116.0,09/08/2022
2216,4298001885.0,4298001885.0,03/13/2023
2217,4295864002.0,4295864002.0,05/27/2022
2218,4295864188.0,4295864188.0,12/08/2022
2220,5044612914.0,5044612914.0,06/30/2022
2222,5083793180.0,5083793180.0,01/30/2023
2223,5083683221.0,5083683221.0,12/16/2022
2224,5083692390.0,5083692390.0,11/17/2022
2226,4295863332.0,4295863332.0,09/26/2022
2227,4295981657.0,4295981657.0,04/08/2022
2229,5082156215.0,5082156215.0,04/22/2022
2230,4295899416.0,4295899416.0,04/25/2022
2231,5082517069.0,5082517069.0,04/21/2022
2232,4297207463.0,4297207463.0,05/02/2022
2233,4298116794.0,4298116794.0,04/26/2022
2234,5082539928.0,5082539928.0,05/11/2022
2235,4298088953.0,4298088953.0,04/14/2022
2236,5035396193.0,5035396193.0,06/06/2022
2237,5037454807.0,5037454807.0,06/15/2022
2238,5041758005.0,5041758005.0,06/20/2022
2239,5014440363.0,5014440363.0,06/24/2022
2241,5074845450.0,5074845450.0,03/31/2022
2242,4295903017.0,4295903017.0,07/21/2022
2243,5079684149.0,5079684149.0,08/02/2022
2244,4297810537.0,4297810537.0,09/01/2022
2246,4295913879.0,4295913879.0,09/19/2022
2247,5083461639.0,5083461639.0,08/16/2022
2248,4295894700.0,4295894700.0,09/22/2022
2249,4298011580.0,4298011580.0,09/22/2022
2251,4295898972.0,4295898972.0,10/18/2022
2252,5082443233.0,5082443233.0,10/25/2022
2254,5035305204.0,5035305204.0,11/07/2022
2255,5083628326.0,5083628326.0,08/02/2022
2256,4296451080.0,4296451080.0,11/30/2022
2257,5035151930.0,5035151930.0,11/29/2022
2258,5083653194.0,5083653194.0,08/01/2022
2260,5082163248.0,5082163248.0,12/14/2022
2261,5080052094.0,5080052094.0,07/04/2022
2262,5076951833.0,5076951833.0,10/25/2022
2263,5037269255.0,5037269255.0,01/03/2023
2264,5038907473.0,5038907473.0,01/03/2023
2265,5082146855.0,5082146855.0,01/06/2023
2266,4296981462.0,4296981462.0,08/02/2022
2268,5064609174.0,5064609174.0,01/18/2023
2269,5040939528.0,5040939528.0,01/16/2023
2270,4295878485.0,4295878485.0,01/31/2023
2272,5060676145.0,5060676145.0,01/27/2023
2273,5051002716.0,5051002716.0,12/15/2022
2274,5076918394.0,5076918394.0,12/30/2022
2275,5042979166.0,5042979166.0,02/10/2023
2276,4296577491.0,4296577491.0,02/16/2023
2277,5081056333.0,5081056333.0,10/12/2022
2278,5038032310.0,5038032310.0,02/24/2023
2279,5046660761.0,5046660761.0,02/23/2023
2280,5082429019.0,5082429019.0,03/01/2023
2281,5015756489.0,5015756489.0,02/07/2023
2283,4295857604.0,4295857604.0,03/29/2023
2284,5040929747.0,5040929747.0,03/03/2023
2285,5000053637.0,5000053637.0,03/24/2023
2286,5083173369.0,5083173369.0,06/23/2022
2287,5083173369.0,5083173369.0,06/23/2022
2288,5083954025.0,5083954025.0,03/09/2023
2289,4297178485.0,4297178485.0,02/14/2023
2290,4295880173.0,4295880173.0,08/17/2022
2291,4295876380.0,4295876380.0,03/03/2023
2292,4295881401.0,4295881401.0,08/29/2022
2293,5044017028.0,5044017028.0,10/26/2022
2295,5036859106.0,5036859106.0,04/04/2022
2296,5035457608.0,5035457608.0,06/15/2022
2298,4297168349.0,4297168349.0,03/07/2023
2300,5083335301.0,5083335301.0,03/20/2023
2301,4295880965.0,4295880965.0,04/07/2022
2302,4295865619.0,4295865619.0,06/28/2022
2303,4297388863.0,4297388863.0,06/24/2022
2304,4295879308.0,4295879308.0,04/28/2022
2305,5073619721.0,5073619721.0,08/04/2022
2306,4295865107.0,4295865107.0,12/15/2022
2307,5082496675.0,5082496675.0,04/13/2022
2308,5053127203.0,5053127203.0,09/06/2022
2309,5069399969.0,5069399969.0,01/05/2023
2310,5083640930.0,5083640930.0,11/16/2022
2311,4295882333.0,4295882333.0,03/30/2022
2312,5060620248.0,5060620248.0,10/19/2022
2313,5071156993.0,5071156993.0,01/03/2023
2314,5083845676.0,5083845676.0,08/31/2022
2315,4295878326.0,4295878326.0,07/28/2022
2316,5083796914.0,5083796914.0,12/10/2022
2317,5001171514.0,5001171514.0,04/07/2022
2318,4295879516.0,4295879516.0,05/09/2022
2319,4297699243.0,4297699243.0,08/29/2022
2320,4295863651.0,4295863651.0,12/24/2022
2321,5045067948.0,5045067948.0,10/18/2022
2322,5081184024.0,5081184024.0,07/18/2022
2324,5000059822.0,5000059822.0,07/08/2022
2325,5040929576.0,5040929576.0,07/26/2022
2326,4296638994.0,4296638994.0,03/06/2023
2327,5080045618.0,5080045618.0,11/14/2022
2328,4298008856.0,4298008856.0,06/13/2022
2329,4295863215.0,4295863215.0,07/28/2022
2330,4295865591.0,4295865591.0,04/25/2022
2331,5000036473.0,5000036473.0,03/22/2023
2332,4295882004.0,4295882004.0,10/18/2022
2333,4298498141.0,4298498141.0,06/29/2022
2334,5081382593.0,5081382593.0,08/05/2022
2336,4298461776.0,4298461776.0,08/04/2022
2337,5001179176.0,5001179176.0,12/07/2022
2338,4295880168.0,4295880168.0,09/22/2022
2339,5000002606.0,5000002606.0,01/27/2023
2340,4295865582.0,4295865582.0,04/18/2022
2341,4295878728.0,4295878728.0,06/13/2022
2342,5081364200.0,5081364200.0,07/27/2022
2343,4295864114.0,4295864114.0,04/11/2022
2344,5044600550.0,5044600550.0,04/21/2022
2345,5037843207.0,5037843207.0,04/14/2022
2346,5082519279.0,5082519279.0,05/03/2022
2347,4295858622.0,4295858622.0,05/05/2022
2348,5082520107.0,5082520107.0,05/03/2022
2349,4296549983.0,4296549983.0,05/09/2022
2350,5054673449.0,5054673449.0,05/11/2022
2351,5083127003.0,5083127003.0,04/21/2022
2353,5035503051.0,5035503051.0,06/10/2022
2354,5057759554.0,5057759554.0,06/08/2022
2355,4295903017.0,4295903017.0,06/27/2022
2356,4298015182.0,4298015182.0,06/30/2022
2357,5045753384.0,5045753384.0,07/15/2022
2358,5083368728.0,5083368728.0,07/04/2022
2360,5083385641.0,5083385641.0,07/26/2022
2361,4295972217.0,4295972217.0,08/03/2022
2362,4295858396.0,4295858396.0,08/18/2022
2363,5071530428.0,5071530428.0,07/27/2022
2364,5052143691.0,5052143691.0,08/03/2022
2365,5001041930.0,5001041930.0,09/14/2022
2366,5078517775.0,5078517775.0,09/28/2022
2367,5043950698.0,5043950698.0,09/15/2022
2368,5080157704.0,5080157704.0,09/29/2022
2369,5083494781.0,5083494781.0,08/31/2022
2370,5083495685.0,5083495685.0,10/07/2022
2371,5064685936.0,5064685936.0,10/11/2022
2372,5046285479.0,5046285479.0,10/11/2022
2373,5083518256.0,5083518256.0,10/23/2022
2374,5040258719.0,5040258719.0,10/27/2022
2375,5058108286.0,5058108286.0,11/08/2022
2376,5083639143.0,5083639143.0,07/22/2022
2377,5045142486.0,5045142486.0,06/27/2022
2380,5083782518.0,5083782518.0,01/20/2023
2381,4296608799.0,4296608799.0,12/31/2022
2382,5082034295.0,5082034295.0,06/01/2022
2383,5081074574.0,5081074574.0,01/27/2023
2384,4298187769.0,4298187769.0,02/28/2023
2385,5058250453.0,5058250453.0,03/01/2023
2386,5068659504.0,5068659504.0,01/10/2023
2388,5083173387.0,5083173387.0,06/24/2022
2389,5039878780.0,5039878780.0,01/17/2023
2390,5083826387.0,5083826387.0,02/10/2023
2391,5083456138.0,5083456138.0,09/10/2022
2392,5044645122.0,5044645122.0,09/22/2022
2393,4298069056.0,4298069056.0,11/25/2022
2394,4295861106.0,4295861106.0,01/09/2023
2395,5000003343.0,5000003343.0,05/13/2022
2396,4297870803.0,4297870803.0,03/06/2023
2397,5037626969.0,5037626969.0,03/22/2023
2398,5083161359.0,5083161359.0,11/01/2022
2399,5082471911.0,5082471911.0,01/19/2023
2400,5083793482.0,5083793482.0,01/17/2023
2401,4295863650.0,4295863650.0,05/26/2022
2403,4295880216.0,4295880216.0,06/06/2022
2404,5081758555.0,5081758555.0,08/04/2022
2405,4295862758.0,4295862758.0,11/18/2022
2407,4295876173.0,4295876173.0,01/18/2023
