,company_id,edge_type,val_id,node_type
188,5064617472.0,Macro Industry,Consumer Staples,Industry
189,4295868520.0,Macro Industry,Healthcare,Industry
190,4297699947.0,Macro Industry,Financials,Industry
191,5035303331.0,Macro Industry,Energy and Power,Industry
192,4298068046.0,Macro Industry,Financials,Industry
193,4295864413.0,Macro Industry,Real Estate,Industry
194,4295876942.0,Macro Industry,Industrials,Industry
195,4296730041.0,Macro Industry,Energy and Power,Industry
196,4295867687.0,Macro Industry,Healthcare,Industry
197,5001438511.0,Macro Industry,Healthcare,Industry
198,4295891735.0,Macro Industry,High Technology,Industry
199,5050702133.0,Macro Industry,Energy and Power,Industry
200,5052167677.0,Macro Industry,Energy and Power,Industry
201,5000073706.0,Macro Industry,Healthcare,Industry
202,4295893562.0,Macro Industry,Energy and Power,Industry
203,5000111822.0,Macro Industry,High Technology,Industry
204,4295881974.0,Macro Industry,Industrials,Industry
205,4296788312.0,Macro Industry,Industrials,Industry
206,4295884308.0,Macro Industry,Media and Entertainment,Industry
207,4295863184.0,Macro Industry,Materials,Industry
208,4295866316.0,Macro Industry,Retail,Industry
209,4295868551.0,Macro Industry,Healthcare,Industry
210,4295904938.0,Macro Industry,Materials,Industry
211,4296934874.0,Macro Industry,Materials,Industry
212,4295891506.0,Macro Industry,High Technology,Industry
213,5081150958.0,Macro Industry,Materials,Industry
214,5083807511.0,Macro Industry,Financials,Industry
215,4295875719.0,Macro Industry,Energy and Power,Industry
216,4295866983.0,Macro Industry,Telecommunications,Industry
217,5001438511.0,Macro Industry,Healthcare,Industry
218,4295898967.0,Macro Industry,Retail,Industry
219,4295881078.0,Macro Industry,Financials,Industry
220,4295882337.0,Macro Industry,Materials,Industry
221,5000682487.0,Macro Industry,Media and Entertainment,Industry
222,5000058043.0,Macro Industry,Energy and Power,Industry
223,5000066211.0,Macro Industry,Financials,Industry
224,4295894497.0,Macro Industry,Consumer Products and Services,Industry
225,4295866601.0,Macro Industry,Media and Entertainment,Industry
226,4295866601.0,Macro Industry,Media and Entertainment,Industry
227,4297708402.0,Macro Industry,Energy and Power,Industry
228,4296558863.0,Macro Industry,Healthcare,Industry
229,4296549983.0,Macro Industry,High Technology,Industry
230,4295912211.0,Macro Industry,Energy and Power,Industry
231,4295863899.0,Macro Industry,Industrials,Industry
232,5052137706.0,Macro Industry,High Technology,Industry
233,5060580500.0,Macro Industry,Materials,Industry
234,4295884701.0,Macro Industry,Consumer Products and Services,Industry
235,5000059822.0,Macro Industry,Industrials,Industry
236,4295905089.0,Macro Industry,Industrials,Industry
237,4295856067.0,Macro Industry,Materials,Industry
238,4295893470.0,Macro Industry,Real Estate,Industry
239,5035774320.0,Macro Industry,Industrials,Industry
240,4295896316.0,Macro Industry,Consumer Products and Services,Industry
241,5000809539.0,Macro Industry,Energy and Power,Industry
242,4295888630.0,Macro Industry,Retail,Industry
243,4295872888.0,Macro Industry,Materials,Industry
244,4295872888.0,Macro Industry,Materials,Industry
245,4295877089.0,Macro Industry,Healthcare,Industry
246,5050265047.0,Macro Industry,Energy and Power,Industry
247,4295907402.0,Macro Industry,Industrials,Industry
248,4295884728.0,Macro Industry,Materials,Industry
249,5056412391.0,Macro Industry,Retail,Industry
250,5000012898.0,Macro Industry,Materials,Industry
251,4295907183.0,Macro Industry,Industrials,Industry
