SDC Deal No,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(USD, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisors Name
('|')","Acquiror Financial Advisors Name
('|')",Deal Status,Form of the Deal,Acquiror Number of Employees,Target Number of Employees,Acquiror PermID,Target PermID,Target Founded Date,Target Primary Ticker Symbol,Acquiror Founded Date,"Acquiror Current Assets Last 12 Months
(USD, Millions)","Current Assets Last 12 Months 
(USD, Millions)","Acquiror Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Target Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Region of Headquarters
('|')","Acquiror CashFLow LTM
(USD, Millions)","EBITDA Last 12 Months
(USD, Millions)"
3941050040,06/27/2022,06/27/2022,0.00,XtremeEDA Corp,High Technology,IT Consulting & Services,Canada,Accenture PLC,High Technology,IT Consulting & Services,Ireland,,,Completed,Merger,"281,000.00",,4295903017,4298066739,01/01/2002,,01/01/1989,"21,007.74",,,,Americas,"12,476.46",
3948937020,07/13/2022,07/13/2022,0.00,The Stable LLC,Media and Entertainment,Advertising & Marketing,United States,Accenture PLC,High Technology,IT Consulting & Services,Ireland,Canaccord Genuity,,Completed,Merger,"281,000.00",,4295903017,5082060129,01/01/2015,,01/01/1989,"21,007.74",,,,Americas,"12,476.46",
3953040040,07/21/2022,07/21/2022,0.00,Eclipse Automation Inc,Consumer Products and Services,Professional Services,Canada,Accenture PLC,High Technology,IT Consulting & Services,Ireland,Ernst & Young LLP,,Completed,Merger,"281,000.00",,4295903017,5031856225,01/01/2001,,01/01/1989,"21,007.74",,,,Americas,"12,476.46",
3934829040,06/15/2022,06/15/2022,14.39,Cavendish Online Ltd,Financials,Insurance,United Kingdom,Lloyds Banking Group PLC,Financials,Banks,United Kingdom,,,Pending,Merger,"113,617.00",,8589934254,5053127401,02/08/2000,,01/01/1995,0.00,1.03,,,Europe,"12,338.50",
3953525040,07/20/2022,10/01/2022,205.16,Casa do Adubo SA,Consumer Staples,Agriculture & Livestock,Brazil,Nutrien Ltd,Materials,Chemicals,Canada,Banco Itau-BBA SA,,Completed,Merger,,,5059998878,4298255959,01/01/1966,,02/06/2017,"16,696.00",97.74,,,Americas,"12,097.00",
3959049040,08/04/2022,08/04/2022,405.00,MiroBio Ltd,Healthcare,Biotechnology,United Kingdom,Gilead Sciences Inc,Healthcare,Biotechnology,United States,Centerview Partners LLC,Cowen,Completed,Merger,"3,400.00",,4295906595,5071503555,08/10/2018,,22/06/1987,"13,175.00",17.98,"78,650.88",,Europe,"11,816.00",
3949552040,07/18/2022,07/18/2022,"1,015.00",Coca-Cola Indochina Pte Ltd,Consumer Staples,Food and Beverage,Singapore,Swire Coca-Cola Ltd,Financials,Other Financials,Hong Kong,,Moelis & Co,Completed,Merger,,,5074432698,4296647154,13/07/1993,,,,,,,Asia Pacific Excluding Central Asia,"11,333.48",
3898082040,04/01/2022,04/01/2022,"2,199.06",Tree Inversiones Inmobiliarias SOCIMI SA,Real Estate,REITs,Spain,Banco Bilbao Vizcaya Argentaria SA,Financials,Banks,Spain,Barclays|Lazard|Goldman Sachs & Co,BBVA,Completed,Merger,"109,305.00",,4295889577,5000858710,,,01/10/1988,,67.44,"34,297.09",,Europe,"10,936.65",87.68
3929024020,06/03/2022,06/03/2022,"3,166.25",Turning Point Therapeutics Inc,Healthcare,Biotechnology,United States,Bristol-Myers Squibb Co,Healthcare,Pharmaceuticals,United States,Goldman Sachs & Co,Dyal Co,Completed,Merger,"28,000.00",,4295903619,5068346529,23/12/2013,TPTX,,"30,121.00",927.43,"163,235.36","1,331.57",Americas,"10,602.00",-275.54
3969179020,09/01/2022,09/01/2022,717.87,Forma Therapeutics Holdings Inc,Healthcare,Biotechnology,United States,Novo Nordisk A/S,Healthcare,Pharmaceuticals,Denmark,Centerview Partners LLC,Moelis & Co,Completed,Merger,"10,693.00",,4295865996,5037435569,01/06/2007,FMTX,01/01/1923,"14,518.60",426.45,"186,590.01",470.95,Americas,"10,311.44",-188.57
