,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
57,uri,http://www.wikidata.org/entity/Q97947684,en,literal,Proyecto Petrel S.A.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q765633,literal,,literal,,literal,http://www.wikidata.org/entity/Q1027041,literal,,,,,,,,,,,,,,,,,wd:Q414
58,uri,http://www.wikidata.org/entity/Q62122746,en,literal,Bonafide,,,,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
59,uri,http://www.wikidata.org/entity/Q9322755,en,literal,Rosamonte,http://www.w3.org/2001/XMLSchema#dateTime,literal,1936-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q2859097,literal,,,,,,,,,,,,,,,,,wd:Q414
60,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
61,uri,http://www.wikidata.org/entity/Q20015548,en,literal,Iton Gadol,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
62,uri,http://www.wikidata.org/entity/Q2335199,en,literal,Macro Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,7268,,,,,,,,,,wd:Q414
63,uri,http://www.wikidata.org/entity/Q67520227,en,literal,Workers' Politics,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
64,uri,http://www.wikidata.org/entity/Q6135985,en,literal,La Anónima,http://www.w3.org/2001/XMLSchema#dateTime,literal,1908-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q615244,literal,,,,,,,,,,,,,,,,,wd:Q414
65,uri,http://www.wikidata.org/entity/Q102047194,en,literal,Kentucky,http://www.w3.org/2001/XMLSchema#dateTime,literal,1942-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q81799,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
66,uri,http://www.wikidata.org/entity/Q17385240,en,literal,Unión Platense S.R.L.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44059,literal,,,,,,,,,,,,,,,,,wd:Q414
67,uri,http://www.wikidata.org/entity/Q2918415,en,literal,Codere,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,"http://www.wikidata.org/entity/Q664702, http://www.wikidata.org/entity/Q1506462",literal,,literal,,literal,http://www.wikidata.org/entity/Q2807,literal,http://www.wikidata.org/entity/Q82059,es,literal,Codere S.A.,,,,,,,,,,,,,wd:Q414
68,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q29,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
69,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q419,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
70,uri,http://www.wikidata.org/entity/Q2876788,en,literal,BBVA Argentina,http://www.w3.org/2001/XMLSchema#dateTime,literal,1886-10-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
71,uri,http://www.wikidata.org/entity/Q752556,en,literal,INVAP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q47772,literal,,,,,,,,,,,,,,,,,wd:Q414
