,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,country
11,uri,http://www.wikidata.org/entity/Q3534875,en,literal,University of Colombo School of Computing,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,,literal,,wd:Q854
12,uri,http://www.wikidata.org/entity/Q5065795,en,literal,Ceylon Petroleum Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
13,uri,http://www.wikidata.org/entity/Q2882652,en,literal,Bank of Ceylon,http://www.w3.org/2001/XMLSchema#dateTime,literal,1939-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
14,uri,http://www.wikidata.org/entity/Q5152468,en,literal,Commercial Bank of Ceylon,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
15,uri,http://www.wikidata.org/entity/Q109302185,en,literal,Dipped Products,,,,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
16,uri,http://www.wikidata.org/entity/Q19885437,en,literal,Jetwing Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
17,uri,http://www.wikidata.org/entity/Q5039260,en,literal,Cargills Ceylon PLC,,,,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
18,uri,http://www.wikidata.org/entity/Q12500189,en,literal,National Savings Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
19,uri,http://www.wikidata.org/entity/Q110279211,en,literal,Testrun,,,,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,,literal,,wd:Q854
20,uri,http://www.wikidata.org/entity/Q108406108,en,literal,Adds.lk Private Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,http://www.wikidata.org/entity/Q37038,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
21,uri,http://www.wikidata.org/entity/Q105055468,en,literal,21 Mediavision,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-08-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,,literal,,wd:Q854
22,uri,http://www.wikidata.org/entity/Q123045951,en,literal,Trek Lanka,,,,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,,literal,,wd:Q854
23,uri,http://www.wikidata.org/entity/Q38126960,en,literal,Amangalla,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,,literal,,literal,,literal,,literal,,wd:Q854
24,uri,http://www.wikidata.org/entity/Q105055468,en,literal,21 Mediavision,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-08-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,wd:Q854
25,uri,http://www.wikidata.org/entity/Q5065789,en,literal,Ceylon Electricity Board,,,,uri,http://www.wikidata.org/entity/Q854,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
26,uri,http://www.wikidata.org/entity/Q55616565,en,literal,Lanka Electricity Company,,,,uri,http://www.wikidata.org/entity/Q854,literal,http://www.wikidata.org/entity/Q383973,literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
27,uri,http://www.wikidata.org/entity/Q5270580,en,literal,Dialog,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q668,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
28,uri,http://www.wikidata.org/entity/Q7410095,en,literal,Sampath Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q854,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q35381,literal,,wd:Q854
