,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
96,uri,http://www.wikidata.org/entity/Q11990436,en,literal,Møbelringen,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q104817981,literal,,literal,,literal,http://www.wikidata.org/entity/Q26525,literal,,,,,,,,,,,,,,wd:Q20
97,uri,http://www.wikidata.org/entity/Q2020649,en,literal,Nordic Investment Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q191,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1757,literal,,,,,,,,,,,,,,wd:Q20
98,uri,http://www.wikidata.org/entity/Q2020649,en,literal,Nordic Investment Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q37,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1757,literal,,,,,,,,,,,,,,wd:Q20
99,uri,http://www.wikidata.org/entity/Q7050849,en,literal,NEAS,nb,literal,NEAS AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-11-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q2316331,literal,,literal,,literal,http://www.wikidata.org/entity/Q3362082,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,130,,,,,,,,,,wd:Q20
100,uri,http://www.wikidata.org/entity/Q31081333,,literal,Q31081333,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q1407228,literal,http://www.wikidata.org/entity/Q11979380,literal,http://www.wikidata.org/entity/Q12318851,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
101,uri,http://www.wikidata.org/entity/Q11991429,en,literal,Nille,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1698870,literal,,,,,,,,,,,,,,wd:Q20
102,uri,http://www.wikidata.org/entity/Q19387078,en,literal,Rushprint,,,,,,,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
103,uri,http://www.wikidata.org/entity/Q11979877,en,literal,Kagge Publishing,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q2085381,literal,http://www.wikidata.org/entity/Q54583063,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
104,uri,http://www.wikidata.org/entity/Q486156,en,literal,University of Oslo,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1811-09-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3357211,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,7029,,,,,,,,,,wd:Q20
105,uri,http://www.wikidata.org/entity/Q113991614,,literal,Q113991614,,,,,,,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
106,uri,http://www.wikidata.org/entity/Q2020649,en,literal,Nordic Investment Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q189,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1757,literal,,,,,,,,,,,,,,wd:Q20
