,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
35,uri,http://www.wikidata.org/entity/Q30639182,en,literal,Robinsons Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
36,uri,http://www.wikidata.org/entity/Q54863641,en,literal,Shopee,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,wd:Q928
37,uri,http://www.wikidata.org/entity/Q62564876,en,literal,Generika,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
38,uri,http://www.wikidata.org/entity/Q121230377,en,literal,BHF Pawnshop & Jewelry Store,,,,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q176637,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
39,uri,http://www.wikidata.org/entity/Q5206522,en,literal,DWRA-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
40,uri,http://www.wikidata.org/entity/Q3545745,en,literal,DZUP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
41,uri,http://www.wikidata.org/entity/Q14903716,en,literal,Rappler,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1624,literal,,,,,,,,,,,,,,wd:Q928
42,uri,http://www.wikidata.org/entity/Q17125136,en,literal,Yey!,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1475,literal,,,,,,,,,,,,,,wd:Q928
43,uri,http://www.wikidata.org/entity/Q78145337,en,literal,DXDA-AM,,,,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
44,uri,http://www.wikidata.org/entity/Q28197109,en,literal,National Grid Corporation of the Philippines,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q112046,literal,,literal,,literal,http://www.wikidata.org/entity/Q1475,literal,,,,,,,,,,,,,,wd:Q928
45,uri,http://www.wikidata.org/entity/Q28403067,en,literal,Sterling Bank of Asia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,http://www.wikidata.org/entity/Q749283,literal,,,,,,,,,,,,,,wd:Q928
46,uri,http://www.wikidata.org/entity/Q5206921,en,literal,DYRT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
47,uri,http://www.wikidata.org/entity/Q5206822,en,literal,DYHY-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
48,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q881,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,,,,,,,wd:Q928
49,uri,http://www.wikidata.org/entity/Q5206431,en,literal,DWAV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1624,literal,,,,,,,,,,,,,,wd:Q928
50,uri,http://www.wikidata.org/entity/Q3543579,en,literal,DWNU,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
51,uri,http://www.wikidata.org/entity/Q109307644,en,literal,96Ace,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q3550859,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
52,uri,http://www.wikidata.org/entity/Q5206693,en,literal,DXMX,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
53,uri,http://www.wikidata.org/entity/Q1401524,en,literal,University of Santo Tomas,http://www.w3.org/2001/XMLSchema#dateTime,literal,1611-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1461,literal,,,,,,,,,,,,,,wd:Q928
54,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,ru,literal,Всемирная организация здравоохранения,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
55,uri,http://www.wikidata.org/entity/Q5206411,en,literal,DWAD-AM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-07-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
56,uri,http://www.wikidata.org/entity/Q5206851,en,literal,DYMK-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
57,uri,http://www.wikidata.org/entity/Q123509119,en,literal,DXBU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-06-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
58,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,es,literal,Organización Mundial de la Salud,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
59,uri,http://www.wikidata.org/entity/Q62267166,en,literal,Andok's,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q171141,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
60,uri,http://www.wikidata.org/entity/Q60769590,en,literal,One Sports,,,,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
61,uri,http://www.wikidata.org/entity/Q5206743,en,literal,DXSS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
62,uri,http://www.wikidata.org/entity/Q120647336,en,literal,Subic Water and Sewerage Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q18449863,literal,,literal,,literal,http://www.wikidata.org/entity/Q2198482,literal,,,,,,,,,,,,,,wd:Q928
63,uri,http://www.wikidata.org/entity/Q48773539,en,literal,SMNI News Channel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-05-24T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
64,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,ru,literal,Всемирная организация здравоохранения,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
65,uri,http://www.wikidata.org/entity/Q85755407,en,literal,DYKS-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6691186,,,,,,,,,,,,,wd:Q928
66,uri,http://www.wikidata.org/entity/Q7830512,en,literal,Toy Kingdom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1475,literal,,,,,,,,,,,,,,wd:Q928
67,uri,http://www.wikidata.org/entity/Q65053131,en,literal,DZCV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-06-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
68,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,fr,literal,Organisation mondiale de la Santé,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
69,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
70,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q817,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
71,uri,http://www.wikidata.org/entity/Q7314390,en,literal,Republic Biscuit Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q627371,literal,,literal,,literal,http://www.wikidata.org/entity/Q6296974,literal,,,,,,,,,,,,,,wd:Q928
72,uri,http://www.wikidata.org/entity/Q85755402,en,literal,DYKB-AM,,,,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
73,uri,http://www.wikidata.org/entity/Q7281812,en,literal,Radyo Pilipinas Worldwide,,,,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
74,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,ru,literal,Всемирная организация здравоохранения,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
75,uri,http://www.wikidata.org/entity/Q7681088,en,literal,Tambunting,http://www.w3.org/2001/XMLSchema#dateTime,literal,1906-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q176637,literal,,literal,,literal,http://www.wikidata.org/entity/Q1508,literal,,,,,,,,,,,,,,wd:Q928
76,uri,http://www.wikidata.org/entity/Q7444945,en,literal,Security Bank Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1508,literal,,,,,,,,,,,,,,wd:Q928
77,uri,http://www.wikidata.org/entity/Q6817918,en,literal,Meralco,,,,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q2316331,literal,,literal,,literal,http://www.wikidata.org/entity/Q1624,literal,,,,,,,,,,,,,,wd:Q928
78,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,fr,literal,Organisation mondiale de la Santé,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,,,,,,,wd:Q928
79,uri,http://www.wikidata.org/entity/Q121090232,en,literal,Lots'a Pizza,,,,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8854,literal,,,,,,,,,,,,,,wd:Q928
80,uri,http://www.wikidata.org/entity/Q5206737,en,literal,DXRV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
81,uri,http://www.wikidata.org/entity/Q5206580,en,literal,DXAB,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
82,uri,http://www.wikidata.org/entity/Q94480105,en,literal,BPI Family Savings Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1508,literal,,,,,,,,,,,,,,wd:Q928
83,uri,http://www.wikidata.org/entity/Q62663208,en,literal,Rose Pharmacy,,,,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q507619,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q928
