,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
56,uri,http://www.wikidata.org/entity/Q108403242,en,literal,Maxi Zoo,,,,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
57,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q6571804",http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,,,,,,,wd:Q36
58,uri,http://www.wikidata.org/entity/Q93070134,en,literal,Merkury Market,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q826068,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
59,uri,http://www.wikidata.org/entity/Q102291992,en,literal,Zelmotor,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-11-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,"http://www.wikidata.org/entity/Q56604188, http://www.wikidata.org/entity/Q3558289, http://www.wikidata.org/entity/Q1327701",literal,,literal,,literal,http://www.wikidata.org/entity/Q598,literal,http://www.wikidata.org/entity/Q189191,http://www.w3.org/2001/XMLSchema#decimal,literal,250,,,,,,,pl,literal,Zakład Silników Zelmer,,,,,,,wd:Q36
60,uri,http://www.wikidata.org/entity/Q470784,en,literal,Amica S.A.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q1957908,literal,,literal,,literal,http://www.wikidata.org/entity/Q52900,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,3020,http://www.w3.org/2001/XMLSchema#decimal,literal,26600000,,,,pl,literal,AMICA WRONKI SPÓŁKA AKCYJNA,,,,,,,wd:Q36
61,uri,http://www.wikidata.org/entity/Q60978063,en,literal,WPolsce.pl,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
62,uri,http://www.wikidata.org/entity/Q113093586,en,literal,Putka,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q2095,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
63,uri,http://www.wikidata.org/entity/Q52085298,en,literal,Artifex Mundi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q588,literal,,,,,,,,,,,pl,literal,Artifex Mundi S.A.,,,,,,,wd:Q36
64,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q6571804",http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,,,,,,,wd:Q36
65,uri,http://www.wikidata.org/entity/Q110955605,en,literal,Gzella,,,,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q16643467,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
