,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,country
28,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
29,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
30,uri,http://www.wikidata.org/entity/Q82692847,en,literal,The Kitchen,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-12-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q846
31,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
32,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
33,uri,http://www.wikidata.org/entity/Q973930,en,literal,Qatargas,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q358333,literal,,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
34,uri,http://www.wikidata.org/entity/Q27991307,en,literal,HBKU Press,,,,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,http://www.wikidata.org/entity/Q24911975,,,,,,,wd:Q846
35,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
36,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
37,uri,http://www.wikidata.org/entity/Q67913420,en,literal,Hilton Doha The Pearl Hotel & Residences,,,,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q846
38,uri,http://www.wikidata.org/entity/Q18346281,en,literal,Qatar Islamic Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
39,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
40,uri,http://www.wikidata.org/entity/Q66132404,en,literal,dean&david,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q1751445,literal,,literal,,literal,http://www.wikidata.org/entity/Q504854,literal,,,,,,,,wd:Q846
41,uri,http://www.wikidata.org/entity/Q67570178,en,literal,Qproperties,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
