,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
10,uri,http://www.wikidata.org/entity/Q1262858,en,literal,Hong Kong Jockey Club,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1884-11-04T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q1054923,literal,http://www.wikidata.org/entity/Q445832,literal,,literal,,literal,http://www.wikidata.org/entity/Q312436,literal,,,,,,,,,,,wd:Q148
11,uri,http://www.wikidata.org/entity/Q47004383,en,literal,Akatsuki,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-02-15T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q232631,literal,,,,,,,,,,,wd:Q148
12,uri,http://www.wikidata.org/entity/Q1479375,en,literal,MTR Corporation Limited,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q695829, http://www.wikidata.org/entity/Q178512",literal,"http://www.wikidata.org/entity/Q19854934, http://www.wikidata.org/entity/Q5105502, http://www.wikidata.org/entity/Q6115252, http://www.wikidata.org/entity/Q8421760, http://www.wikidata.org/entity/Q67932616",literal,http://www.wikidata.org/entity/Q64008248,literal,http://www.wikidata.org/entity/Q837119,literal,,,,,,,,,,,wd:Q148
13,uri,http://www.wikidata.org/entity/Q56811344,en,literal,Luckin Coffee,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q30022,literal,,literal,,literal,http://www.wikidata.org/entity/Q68744,literal,,,,,,,,,,,wd:Q148
14,uri,http://www.wikidata.org/entity/Q8071259,en,literal,"Zhuzhou CRRC Times Electric Co., Ltd.",,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q198266,literal,,,,,,,,,,,wd:Q148
15,uri,http://www.wikidata.org/entity/Q39057776,en,literal,Tencent Games,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q15174,literal,,,,,,,,,,,wd:Q148
16,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,wd:Q148
17,uri,http://www.wikidata.org/entity/Q1479654,en,literal,Wiley,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1807-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q55,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q138578,literal,,en,literal,"John Wiley & Sons, Inc.",,,,,,,wd:Q148
18,uri,http://www.wikidata.org/entity/Q48147014,en,literal,Insta360,http://www.w3.org/2001/XMLSchema#decimal,literal,500,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q15174,literal,,,,,,,,,,,wd:Q148
19,uri,http://www.wikidata.org/entity/Q16926884,en,literal,Koi Kei Bakery,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q14773,literal,,,,,,,,,,,wd:Q148
20,uri,http://www.wikidata.org/entity/Q29468800,en,literal,TCL Electronics,http://www.w3.org/2001/XMLSchema#decimal,literal,40,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q581105, http://www.wikidata.org/entity/Q212920",literal,,literal,http://www.wikidata.org/entity/Q1822548,literal,http://www.wikidata.org/entity/Q8646,literal,,en-gb,literal,TCL International Holdings Limited,,,,,,,wd:Q148
21,uri,http://www.wikidata.org/entity/Q312243,en,literal,Kowloon Motor Bus,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q938519,literal,,en,literal,The Kowloon Motor Bus Company (1933) Limited,,,,,,,wd:Q148
22,uri,http://www.wikidata.org/entity/Q17025504,en,literal,CFMOTO,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4970,literal,,,,,,,,,,,wd:Q148
23,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q148
24,uri,http://www.wikidata.org/entity/Q7168080,en,literal,Perfect World,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-03-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,,,,,,,,,,wd:Q148
25,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q884,literal,"http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
26,uri,http://www.wikidata.org/entity/Q18128040,en,literal,Mili Pictures Worldwide,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8686,literal,,,,,,,,,,,wd:Q148
27,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,,,,,,,,,,wd:Q148
28,uri,http://www.wikidata.org/entity/Q108938000,en,literal,Thermite Games,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-07-10T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,zh-hans,literal,北京云龄科技有限公司,,,,,,,wd:Q148
29,uri,http://www.wikidata.org/entity/Q28025298,en,literal,Mobike,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q10611118,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,,,,,,,,,,wd:Q148
30,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q27,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q148
31,uri,http://www.wikidata.org/entity/Q10870391,en,literal,Eastday,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-05-28T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q148
32,uri,http://www.wikidata.org/entity/Q2748031,en,literal,Gagosian Gallery,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,,,,,,,,,,wd:Q148
33,uri,http://www.wikidata.org/entity/Q107377209,en,literal,Shein,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q11828862, http://www.wikidata.org/entity/Q5100735, http://www.wikidata.org/entity/Q2661018, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,"http://www.wikidata.org/entity/Q16666, http://www.wikidata.org/entity/Q334, http://www.wikidata.org/entity/Q148",literal,http://www.wikidata.org/entity/Q2661018,,,,,,,,,,wd:Q148
34,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q27,literal,"http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
35,uri,http://www.wikidata.org/entity/Q15907772,en,literal,Meituan,http://www.w3.org/2001/XMLSchema#decimal,literal,500,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-03-29T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,zh-hans,literal,美团,,,,,,,wd:Q148
36,uri,http://www.wikidata.org/entity/Q17709484,en,literal,Kro's Nest,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q148
37,uri,http://www.wikidata.org/entity/Q24836515,en,literal,Hithink Flush Information Network Co Ltd,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,,literal,,zh-cn,literal,同花顺,,,,,,,wd:Q148
38,uri,http://www.wikidata.org/entity/Q7267707,en,literal,Qihoo 360,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q7397,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,,,,,,,,,,wd:Q148
39,uri,http://www.wikidata.org/entity/Q98456772,en,literal,Tesco Express,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q148
40,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,,,,,,,wd:Q148
41,uri,http://www.wikidata.org/entity/Q10843723,en,literal,1O1O,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8646,literal,,,,,,,,,,,wd:Q148
42,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
43,uri,http://www.wikidata.org/entity/Q41171672,en,literal,Aldi Süd,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2899,literal,http://www.wikidata.org/entity/Q125054,,,,,,,,,,wd:Q148
44,uri,http://www.wikidata.org/entity/Q51846184,en,literal,"GD SIGELEI Electronic Tech Co., Ltd",,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-09-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q21157865,literal,,literal,,literal,http://www.wikidata.org/entity/Q5714318,literal,,en,literal,"GD SIGELEI Electronic Tech Co., Ltd",,,,,,,wd:Q148
45,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q148
46,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
47,uri,http://www.wikidata.org/entity/Q910401,en,literal,SAIC Motor,http://www.w3.org/2001/XMLSchema#decimal,literal,204815,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,20431037480,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q8686,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,919414755790,http://www.w3.org/2001/XMLSchema#decimal,literal,260102954410,wd:Q148
48,uri,http://www.wikidata.org/entity/Q48937899,en,literal,Tantan,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-07-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q97486561,literal,,literal,,literal,http://www.wikidata.org/entity/Q394701,literal,,,,,,,,,,,wd:Q148
49,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,wd:Q148
50,uri,http://www.wikidata.org/entity/Q41171672,en,literal,Aldi Süd,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2899,literal,http://www.wikidata.org/entity/Q125054,,,,,,,,,,wd:Q148
51,uri,http://www.wikidata.org/entity/Q47015754,en,literal,Yostar,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-08-14T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,"http://www.wikidata.org/entity/Q3346539, http://www.wikidata.org/entity/Q239143",literal,,,,,,,,,,,wd:Q148
52,uri,http://www.wikidata.org/entity/Q109936106,en,literal,Moondrop,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q14859880, http://www.wikidata.org/entity/Q581105",literal,,literal,,literal,http://www.wikidata.org/entity/Q30002,literal,,zh-cn,literal,成都水月雨科技有限公司,,,,,,,wd:Q148
53,uri,http://www.wikidata.org/entity/Q814825,en,literal,Foton Motor,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q13662488,literal,,,,,,,,,,,wd:Q148
54,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q29,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q148
55,uri,http://www.wikidata.org/entity/Q1073540,en,literal,China Telecommunications Corporation,http://www.w3.org/2001/XMLSchema#decimal,literal,309799,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q30138,literal,,,,,,,,,,,wd:Q148
56,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q183,literal,"http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
57,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q29,literal,"http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q2151621",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,,,,,,,wd:Q148
58,uri,http://www.wikidata.org/entity/Q96384368,en,literal,Meizhou Dongpo,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-06-06T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q148
