,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
10,uri,http://www.wikidata.org/entity/Q4948925,en,literal,Botswana Telecommunications Corporation,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,947,,,,wd:Q963
11,uri,http://www.wikidata.org/entity/Q116474606,en,literal,Cashbuild,uri,http://www.wikidata.org/entity/Q1020,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
12,uri,http://www.wikidata.org/entity/Q18356125,en,literal,Mascom,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q1941618, http://www.wikidata.org/entity/Q418",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-02-17T00:00:00Z,,,,,,,wd:Q963
13,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,wd:Q963
14,uri,http://www.wikidata.org/entity/Q116474606,en,literal,Cashbuild,uri,http://www.wikidata.org/entity/Q1030,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
15,uri,http://www.wikidata.org/entity/Q116474928,en,literal,Lewis Stores,uri,http://www.wikidata.org/entity/Q1030,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
16,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
17,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,wd:Q963
18,uri,http://www.wikidata.org/entity/Q4948910,en,literal,Botswana Power Corporation,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q963,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2177,,,,wd:Q963
19,uri,http://www.wikidata.org/entity/Q4948910,en,literal,Botswana Power Corporation,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q963,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1870,,,,wd:Q963
20,uri,http://www.wikidata.org/entity/Q116474606,en,literal,Cashbuild,uri,http://www.wikidata.org/entity/Q1050,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
21,uri,http://www.wikidata.org/entity/Q116474928,en,literal,Lewis Stores,uri,http://www.wikidata.org/entity/Q1050,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
22,uri,http://www.wikidata.org/entity/Q18356125,en,literal,Mascom,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q1941618, http://www.wikidata.org/entity/Q418",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
23,uri,http://www.wikidata.org/entity/Q116970561,en,literal,Pulse Tickets,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
24,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
25,uri,http://www.wikidata.org/entity/Q111184141,en,literal,The Bulb World,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q210064, http://www.wikidata.org/entity/Q11650",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,wd:Q963
26,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
27,uri,http://www.wikidata.org/entity/Q116970561,en,literal,Pulse Tickets,uri,http://www.wikidata.org/entity/Q1013,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
28,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
29,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
30,uri,http://www.wikidata.org/entity/Q111916004,en,literal,Botswana Craft,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,,,,,,,wd:Q963
31,uri,http://www.wikidata.org/entity/Q116970561,en,literal,Pulse Tickets,uri,http://www.wikidata.org/entity/Q1030,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
32,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q1030,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,wd:Q963
33,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,wd:Q963
34,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,uri,http://www.wikidata.org/entity/Q1013,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,wd:Q963
35,uri,http://www.wikidata.org/entity/Q114677957,en,literal,Gabz FM,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
36,uri,http://www.wikidata.org/entity/Q8049446,en,literal,Yarona FM,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
37,uri,http://www.wikidata.org/entity/Q116970561,en,literal,Pulse Tickets,uri,http://www.wikidata.org/entity/Q1050,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q963
38,uri,http://www.wikidata.org/entity/Q4948927,en,literal,Botswana Television,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,,,,wd:Q963
39,uri,http://www.wikidata.org/entity/Q4948874,en,literal,BotswanaPost,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,,,,wd:Q963
40,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,uri,http://www.wikidata.org/entity/Q1030,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,wd:Q963
41,uri,http://www.wikidata.org/entity/Q406896,en,literal,Air Botswana,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1327949,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,,,,en,literal,Air Botswana Corporation,wd:Q963
42,uri,http://www.wikidata.org/entity/Q111184141,en,literal,The Bulb World,uri,http://www.wikidata.org/entity/Q258,literal,"http://www.wikidata.org/entity/Q210064, http://www.wikidata.org/entity/Q11650",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,wd:Q963
43,uri,http://www.wikidata.org/entity/Q7973406,en,literal,Water Utilities Corporation,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q165422,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,,,,,,,wd:Q963
