,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
408,uri,http://www.wikidata.org/entity/Q1533296,en,literal,Prosegur,uri,http://www.wikidata.org/entity/Q29,literal,http://www.wikidata.org/entity/Q1499541,literal,,literal,http://www.wikidata.org/entity/Q28741515,literal,"http://www.wikidata.org/entity/Q3791, http://www.wikidata.org/entity/Q2807",literal,http://www.wikidata.org/entity/Q5907868,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,175000,es,literal,"Prosegur Compañía de Seguridad, S.A",,,,,,,,,,,,,wd:Q183
409,uri,http://www.wikidata.org/entity/Q290852,en,literal,National Theatre Mannheim,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
410,uri,http://www.wikidata.org/entity/Q109558465,en,literal,1a autoservice,uri,http://www.wikidata.org/entity/Q39,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
411,uri,http://www.wikidata.org/entity/Q27037164,en,literal,earMUSIC,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
412,uri,http://www.wikidata.org/entity/Q332350,en,literal,Absolut Medien,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q1415356,literal,,literal,,literal,http://www.wikidata.org/entity/Q64,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
413,uri,http://www.wikidata.org/entity/Q1465051,en,literal,Lookout Games,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q500261,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
414,uri,http://www.wikidata.org/entity/Q671990,en,literal,Kempinski,uri,http://www.wikidata.org/entity/Q183,literal,"http://www.wikidata.org/entity/Q100252087, http://www.wikidata.org/entity/Q29584744",literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1897-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,20000,,,,,,,,,,,,,,,,wd:Q183
415,uri,http://www.wikidata.org/entity/Q317215,en,literal,Bundesdruckerei,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q308928,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1879-07-06T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2088,,,,,,,,,,,,,,,,wd:Q183
416,uri,http://www.wikidata.org/entity/Q520524,en,literal,Federal Agency for Civic Education,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,http://www.wikidata.org/entity/Q1566827,literal,http://www.wikidata.org/entity/Q586,literal,http://www.wikidata.org/entity/Q502698,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-11-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,220,de,literal,Bundeszentrale für politische Bildung,,,,,,,,,,,,,wd:Q183
417,uri,http://www.wikidata.org/entity/Q108000666,en,literal,Retrific,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2880,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-03-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
418,uri,http://www.wikidata.org/entity/Q203550,en,literal,Alpina,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q265110,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
419,uri,http://www.wikidata.org/entity/Q161423,en,literal,Die Tageszeitung,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q64,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-04-17T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
420,uri,http://www.wikidata.org/entity/Q1694737,en,literal,Manufactum,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q161575,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
421,uri,http://www.wikidata.org/entity/Q54122845,en,literal,Crows Crows Crows,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q64,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-10-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
