,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
28,uri,http://www.wikidata.org/entity/Q123028077,en,literal,Creditis,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1449,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
29,uri,http://www.wikidata.org/entity/Q108250509,en,literal,Allianz Direct,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-07-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q2143354,literal,,literal,,literal,http://www.wikidata.org/entity/Q1726,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
30,uri,http://www.wikidata.org/entity/Q105082353,en,literal,Schiaffini Travel,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q1762479, http://www.wikidata.org/entity/Q178512",literal,,literal,,literal,http://www.wikidata.org/entity/Q220,literal,,it,literal,Schiaffini Travel S.p.A.,,,,,,,,,,,,,,,,wd:Q38
31,uri,http://www.wikidata.org/entity/Q3841263,en,literal,MD Discount,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q331814,literal,,literal,,literal,http://www.wikidata.org/entity/Q58637,literal,,it,literal,MD S.p.A.,,,,,,,,,,,,,,,,wd:Q38
32,uri,http://www.wikidata.org/entity/Q48800730,en,literal,Warner Bros. Discovery Italia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
33,uri,http://www.wikidata.org/entity/Q122839650,en,literal,Like Reply,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
34,uri,http://www.wikidata.org/entity/Q123298436,en,literal,3labels.com,,,,uri,http://www.wikidata.org/entity/Q41,literal,http://www.wikidata.org/entity/Q83405,literal,,literal,,literal,,literal,,en,literal,3labels.com,,,,,,,,,,,,,,,,wd:Q38
35,uri,http://www.wikidata.org/entity/Q124150107,,literal,Q124150107,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q13498,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
36,uri,http://www.wikidata.org/entity/Q739503,en,literal,ERG,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-06-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,http://www.wikidata.org/entity/Q3719589,literal,http://www.wikidata.org/entity/Q1449,literal,,it,literal,ERG S.p.A.,,,,,,,,,,,,,,,,wd:Q38
37,uri,http://www.wikidata.org/entity/Q950042,en,literal,Stone Island,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q11828862, http://www.wikidata.org/entity/Q28823",literal,,literal,,literal,http://www.wikidata.org/entity/Q1891,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
38,uri,http://www.wikidata.org/entity/Q2271894,en,literal,Comau,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q184199,literal,,literal,,literal,http://www.wikidata.org/entity/Q495,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
39,uri,http://www.wikidata.org/entity/Q48807466,,literal,Q48807466,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
40,uri,http://www.wikidata.org/entity/Q1407872,en,literal,Ferretti Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q190928,literal,,literal,,literal,http://www.wikidata.org/entity/Q13367,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
41,uri,http://www.wikidata.org/entity/Q123900995,en,literal,Metroweb Genova,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q1449,literal,,it,literal,Metroweb Genova S.p.A.,,,,,,,,,,,,,,,,wd:Q38
42,uri,http://www.wikidata.org/entity/Q3747209,en,literal,Fondazione Querini Stampalia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1869-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,16,,,,,,,,,,,,,wd:Q38
43,uri,http://www.wikidata.org/entity/Q18208315,en,literal,Musement,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q49389,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
44,uri,http://www.wikidata.org/entity/Q109658900,en,literal,3DClouds,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
45,uri,http://www.wikidata.org/entity/Q16599354,en,literal,SGM Distribuzione,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q2865305,literal,,literal,,literal,http://www.wikidata.org/entity/Q13367,literal,,it,literal,SGM Distribuzione S.r.l.,,,,,,,,,,,,,,,,wd:Q38
46,uri,http://www.wikidata.org/entity/Q6420723,en,literal,Pearson Education,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q29,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
47,uri,http://www.wikidata.org/entity/Q115627635,,literal,Q115627635,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q9474, http://www.wikidata.org/entity/Q495",literal,,it,literal,Fotoexacta,,,,,,,,,,,,,,,,wd:Q38
48,uri,http://www.wikidata.org/entity/Q3928699,en,literal,Radio Bruno,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
49,uri,http://www.wikidata.org/entity/Q113167108,en,literal,CHEZPLINIO (Corvetto),,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
50,uri,http://www.wikidata.org/entity/Q3639256,en,literal,Beyfin,http://www.w3.org/2001/XMLSchema#dateTime,literal,1954-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q82636,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
51,uri,http://www.wikidata.org/entity/Q7444725,en,literal,Sector No Limits,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q34693,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
52,uri,http://www.wikidata.org/entity/Q1675028,en,literal,Italia 2,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q220,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
53,uri,http://www.wikidata.org/entity/Q113291420,en,literal,Colours & Beauty,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q99961,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
54,uri,http://www.wikidata.org/entity/Q495026,en,literal,Italian Post,http://www.w3.org/2001/XMLSchema#dateTime,literal,1862-05-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q57616250, http://www.wikidata.org/entity/Q177777",literal,http://www.wikidata.org/entity/Q55281847,literal,,literal,http://www.wikidata.org/entity/Q220,literal,,it,literal,Poste Italiane S.p.A.,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,689000000,,,,,,,,,,wd:Q38
55,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,,,,wd:Q38
