,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
108,uri,http://www.wikidata.org/entity/Q918206,uri,http://www.wikidata.org/entity/Q651222,,,
109,uri,http://www.wikidata.org/entity/Q918208,uri,http://www.wikidata.org/entity/Q2037048,,,
110,uri,http://www.wikidata.org/entity/Q1419041,uri,http://www.wikidata.org/entity/Q786790,,,
111,uri,http://www.wikidata.org/entity/Q697619,uri,http://www.wikidata.org/entity/Q45568,,,
112,uri,http://www.wikidata.org/entity/Q104218310,uri,http://www.wikidata.org/entity/Q45568,,,
113,uri,http://www.wikidata.org/entity/Q5376815,uri,http://www.wikidata.org/entity/Q651222,,,
114,uri,http://www.wikidata.org/entity/Q5779688,uri,http://www.wikidata.org/entity/Q651222,,,
115,uri,http://www.wikidata.org/entity/Q109732892,uri,http://www.wikidata.org/entity/Q1048204,,,
116,uri,http://www.wikidata.org/entity/Q286650,uri,http://www.wikidata.org/entity/Q83823,,,
117,uri,http://www.wikidata.org/entity/Q109918757,uri,http://www.wikidata.org/entity/Q144617,,,
118,uri,http://www.wikidata.org/entity/Q109918757,uri,http://www.wikidata.org/entity/Q673267,,,
119,uri,http://www.wikidata.org/entity/Q111450331,uri,http://www.wikidata.org/entity/Q111450281,,,
120,uri,http://www.wikidata.org/entity/Q112961342,uri,http://www.wikidata.org/entity/Q144617,,,
121,uri,http://www.wikidata.org/entity/Q100166679,uri,http://www.wikidata.org/entity/Q21189584,,,
122,uri,http://www.wikidata.org/entity/Q2231148,uri,http://www.wikidata.org/entity/Q1878364,,,
123,uri,http://www.wikidata.org/entity/Q12054325,uri,http://www.wikidata.org/entity/Q817139,,,
124,uri,http://www.wikidata.org/entity/Q745394,uri,http://www.wikidata.org/entity/Q841263,,,
125,uri,http://www.wikidata.org/entity/Q3689968,uri,http://www.wikidata.org/entity/Q1129774,,,
126,uri,http://www.wikidata.org/entity/Q3991788,uri,http://www.wikidata.org/entity/Q113406502,,,
127,uri,http://www.wikidata.org/entity/Q101114860,uri,http://www.wikidata.org/entity/Q28119223,,,
128,uri,http://www.wikidata.org/entity/Q30097845,uri,http://www.wikidata.org/entity/Q144617,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z
129,uri,http://www.wikidata.org/entity/Q30097845,uri,http://www.wikidata.org/entity/Q144617,,,
130,uri,http://www.wikidata.org/entity/Q220189,uri,http://www.wikidata.org/entity/Q45568,,,
131,uri,http://www.wikidata.org/entity/Q305404,uri,http://www.wikidata.org/entity/Q1027874,,,
132,uri,http://www.wikidata.org/entity/Q115184176,uri,http://www.wikidata.org/entity/Q144617,,,
133,uri,http://www.wikidata.org/entity/Q806154,uri,http://www.wikidata.org/entity/Q27331643,,,
134,uri,http://www.wikidata.org/entity/Q1414836,uri,http://www.wikidata.org/entity/Q2042514,,,
135,uri,http://www.wikidata.org/entity/Q19655865,uri,http://www.wikidata.org/entity/Q368151,,,
136,uri,http://www.wikidata.org/entity/Q3929470,uri,http://www.wikidata.org/entity/Q19616,,,
137,uri,http://www.wikidata.org/entity/Q2313845,uri,http://www.wikidata.org/entity/Q1878364,,,
138,uri,http://www.wikidata.org/entity/Q3547885,uri,http://www.wikidata.org/entity/Q45568,,,
139,uri,http://www.wikidata.org/entity/Q3661909,uri,http://www.wikidata.org/entity/Q1343118,,,
140,uri,http://www.wikidata.org/entity/Q3906210,uri,http://www.wikidata.org/entity/Q703322,,,
141,uri,http://www.wikidata.org/entity/Q3928742,uri,http://www.wikidata.org/entity/Q368151,,,
142,uri,http://www.wikidata.org/entity/Q6422005,uri,http://www.wikidata.org/entity/Q1479654,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z
143,uri,http://www.wikidata.org/entity/Q6523209,uri,http://www.wikidata.org/entity/Q1878364,,,
